Source,Target,Weight
13-1199.04,15-1299.03,0.9584
13-1199.04,25-4012.00,0.956
13-1199.04,27-1011.00,0.9548
13-1199.04,27-2041.00,0.9563
13-1199.05,13-2011.00,0.95
13-1199.05,13-2053.00,0.9634
13-1199.05,13-2061.00,0.9548
13-1199.05,17-1021.00,0.9501
13-1199.05,17-2081.00,0.954
13-1199.05,17-2111.00,0.9514
13-1199.05,19-2041.01,0.955
13-1199.05,19-3034.00,0.951
13-1199.05,19-3039.02,0.9589
13-1199.05,19-3091.00,0.9554
13-1199.05,21-1011.00,0.9503
13-1199.05,23-1021.00,0.951
13-1199.05,25-1031.00,0.9516
13-1199.05,25-1072.00,0.9539
13-1199.05,25-1193.00,0.9529
13-1199.05,25-4011.00,0.9676
13-1199.05,25-4012.00,0.9567
13-1199.05,29-1217.00,0.9535
13-1199.05,29-1229.05,0.9548
13-1199.05,29-1299.01,0.9584
13-1199.05,33-3021.06,0.9621
13-1199.06,41-3031.00,0.9513
13-1199.07,27-1011.00,0.9517
13-1199.07,27-1026.00,0.9503
13-2011.00,13-2022.00,0.9598
13-2011.00,13-2023.00,0.9554
13-2011.00,13-2052.00,0.9566
13-2011.00,13-2053.00,0.9753
13-2011.00,13-2061.00,0.9527
13-2011.00,13-2071.00,0.9575
13-2011.00,13-2072.00,0.9756
13-2011.00,13-2081.00,0.976
13-2011.00,13-2082.00,0.9606
13-2011.00,13-2099.04,0.9686
13-2011.00,15-2051.01,0.9618
13-2011.00,41-3031.00,0.9612
13-2011.00,43-3031.00,0.9608
13-2011.00,43-3061.00,0.9644
13-2011.00,43-4011.00,0.9651
13-2011.00,43-4021.00,0.9595
13-2011.00,43-4031.00,0.9531
13-2011.00,43-4041.00,0.9627
13-2011.00,43-4131.00,0.9609
13-2011.00,43-4141.00,0.9501
13-2011.00,43-4161.00,0.9502
13-2011.00,43-5011.01,0.9501
13-2011.00,43-6011.00,0.965
13-2011.00,43-9041.00,0.9572
13-2022.00,13-2023.00,0.972
13-2022.00,13-2053.00,0.9546
13-2022.00,13-2081.00,0.9649
13-2022.00,13-2082.00,0.9505
13-2022.00,17-1021.00,0.9524
13-2022.00,23-2093.00,0.9541
13-2022.00,41-9021.00,0.9615
13-2022.00,43-4021.00,0.9636
13-2022.00,43-4131.00,0.9561
13-2022.00,43-4151.00,0.9527
13-2022.00,43-6011.00,0.953
13-2022.00,43-9041.00,0.9525
13-2023.00,13-2081.00,0.9674
13-2023.00,27-3023.00,0.9513
13-2023.00,33-9021.00,0.9661
13-2023.00,41-9021.00,0.9531
13-2023.00,43-4021.00,0.956
13-2023.00,43-4131.00,0.9602
13-2023.00,43-4151.00,0.9595
13-2023.00,43-9041.00,0.9544
13-2031.00,13-2099.01,0.9633
13-2031.00,15-2011.00,0.9523
13-2031.00,41-3031.00,0.9502
13-2041.00,15-2051.01,0.9514
13-2052.00,13-2053.00,0.9638
13-2052.00,13-2071.00,0.9551
13-2052.00,41-3031.00,0.9636
13-2052.00,43-4131.00,0.9538
13-2053.00,13-2071.00,0.9623
13-2053.00,13-2072.00,0.9767
13-2053.00,13-2081.00,0.9608
13-2053.00,13-2082.00,0.9527
13-2053.00,13-2099.04,0.9727
13-2053.00,15-2051.01,0.9527
13-2053.00,19-2041.01,0.9565
13-2053.00,19-3011.00,0.9512
13-2053.00,19-3033.00,0.9507
13-2053.00,19-3039.03,0.9575
13-2053.00,23-1011.00,0.9597
13-2053.00,23-1021.00,0.9665
13-2053.00,23-1023.00,0.9504
13-2053.00,23-2093.00,0.9573
13-2053.00,33-3021.06,0.972
13-2053.00,41-3031.00,0.955
13-2053.00,43-3031.00,0.9514
13-2053.00,43-3061.00,0.958
13-2053.00,43-4011.00,0.9595
13-2053.00,43-4021.00,0.963
13-2053.00,43-4041.00,0.9502
13-2053.00,43-4131.00,0.9628
13-2053.00,43-4161.00,0.9564
13-2053.00,43-6011.00,0.9536
13-2061.00,19-3011.00,0.9503
13-2071.00,13-2081.00,0.9562
13-2071.00,13-2082.00,0.9574
13-2071.00,19-3034.00,0.9608
13-2071.00,21-1012.00,0.9536
13-2071.00,33-3021.06,0.9627
13-2071.00,41-3021.00,0.9654
13-2071.00,41-4011.07,0.9539
13-2071.00,43-4021.00,0.951
13-2071.00,43-4051.00,0.9504
13-2071.00,43-4131.00,0.9634
13-2072.00,13-2081.00,0.9722
13-2072.00,13-2082.00,0.9609
13-2072.00,13-2099.04,0.9675
13-2072.00,43-3061.00,0.9659
13-2072.00,43-4011.00,0.9592
13-2072.00,43-4021.00,0.9571
13-2072.00,43-4041.00,0.9554
13-2072.00,43-4131.00,0.9688
13-2081.00,13-2082.00,0.9763
13-2081.00,15-2051.01,0.956
13-2081.00,23-2093.00,0.9503
13-2081.00,33-3021.06,0.9512
13-2081.00,41-9021.00,0.9568
13-2081.00,43-3061.00,0.9524
13-2081.00,43-4011.00,0.9585
13-2081.00,43-4021.00,0.9575
13-2081.00,43-4041.00,0.9523
13-2081.00,43-4131.00,0.9736
13-2081.00,43-4141.00,0.9614
13-2081.00,43-4151.00,0.9609
13-2081.00,43-4161.00,0.9509
13-2081.00,43-6011.00,0.9603
13-2082.00,23-2093.00,0.9545
13-2082.00,43-3051.00,0.9515
13-2082.00,43-3061.00,0.9502
13-2082.00,43-4021.00,0.9569
13-2082.00,43-4041.00,0.9597
13-2082.00,43-4131.00,0.9659
13-2082.00,43-4141.00,0.9507
13-2082.00,43-6011.00,0.9548
13-2099.01,15-2011.00,0.9597
13-2099.01,15-2051.01,0.9611
13-2099.01,19-3011.00,0.9528
13-2099.01,19-3011.01,0.9565
13-2099.04,23-1011.00,0.9513
13-2099.04,23-1021.00,0.9579
13-2099.04,27-3023.00,0.9521
13-2099.04,43-3061.00,0.9522
13-2099.04,43-4021.00,0.9588
13-2099.04,43-4041.00,0.955
13-2099.04,43-4161.00,0.9506
15-1211.01,17-3011.00,0.9514
15-1211.01,17-3012.00,0.9517
15-1243.00,15-1243.01,0.9571
15-1299.09,25-4012.00,0.9566
15-2011.00,19-3011.00,0.9509
15-2011.00,19-3099.01,0.9542
15-2021.00,15-2041.00,0.9757
15-2021.00,15-2041.01,0.968
15-2031.00,15-2041.00,0.9616
15-2031.00,15-2041.01,0.956
15-2041.00,15-2041.01,0.9801
15-2041.01,19-2012.00,0.9552
15-2051.01,17-1021.00,0.9553
15-2051.01,19-3011.00,0.9702
15-2051.01,19-3022.00,0.962
15-2051.01,33-3021.06,0.9581
17-1011.00,17-1012.00,0.9615
17-1021.00,33-3021.06,0.9505
17-2011.00,17-2112.01,0.9572
17-2051.02,17-2112.01,0.9555
17-2051.02,17-2141.02,0.9627
17-2051.02,17-2199.03,0.9602
17-2051.02,17-2199.10,0.9633
17-2051.02,19-2099.01,0.9509
17-2081.00,17-2171.00,0.9531
17-2081.00,17-2199.03,0.9554
17-2081.00,19-1011.00,0.9742
17-2081.00,19-1012.00,0.9509
17-2081.00,19-1013.00,0.9544
17-2081.00,19-1023.00,0.9721
17-2081.00,19-1029.03,0.9501
17-2081.00,19-1031.00,0.9648
17-2081.00,19-1031.02,0.9551
17-2081.00,19-1042.00,0.9519
17-2081.00,19-2041.00,0.972
17-2081.00,19-2041.02,0.9723
17-2081.00,29-1051.00,0.9567
17-2081.00,29-1218.00,0.9571
17-2081.00,29-2036.00,0.9588
17-2111.00,19-5012.00,0.9678
17-2111.00,29-1229.06,0.9627
17-2111.00,47-4011.00,0.9624
17-2112.01,17-2141.02,0.953
17-2112.01,19-1029.01,0.9563
17-2112.02,17-2199.06,0.9503
17-2112.02,19-1011.00,0.9542
17-2112.02,19-1013.00,0.9555
17-2112.02,19-2032.00,0.9585
17-2112.02,19-2041.00,0.9548
17-2131.00,19-2032.00,0.9586
17-2141.02,17-2199.10,0.9606
17-2141.02,19-2099.01,0.9523
17-2151.00,19-2041.02,0.9512
17-2171.00,19-2041.02,0.952
17-2199.03,17-2199.10,0.972
17-2199.03,17-3022.00,0.956
17-2199.03,19-1011.00,0.9736
17-2199.03,19-1013.00,0.9634
17-2199.03,19-1031.00,0.952
17-2199.03,19-1042.00,0.9617
17-2199.03,19-2032.00,0.9544
17-2199.03,19-2041.02,0.9743
17-2199.03,19-2099.01,0.9535
17-2199.06,19-1011.00,0.9514
17-2199.06,19-1012.00,0.9504
17-2199.06,19-1013.00,0.9507
17-2199.10,17-3022.00,0.9506
17-2199.10,19-2041.02,0.9578
17-2199.10,19-2099.01,0.9515
17-2199.11,19-2032.00,0.9511
19-1011.00,19-1012.00,0.9641
19-1011.00,19-1013.00,0.9802
19-1011.00,19-1022.00,0.9532
19-1011.00,19-1023.00,0.9634
19-1011.00,19-1029.01,0.9668
19-1011.00,19-1029.03,0.9716
19-1011.00,19-1031.00,0.9648
19-1011.00,19-1042.00,0.9807
19-1011.00,19-2021.00,0.96
19-1011.00,19-2032.00,0.9659
19-1011.00,19-2041.00,0.974
19-1011.00,19-2041.02,0.9751
19-1011.00,19-2041.03,0.9631
19-1011.00,19-2042.00,0.959
19-1011.00,29-1131.00,0.9539
19-1011.00,29-1216.00,0.9553
19-1011.00,29-1222.00,0.9582
19-1011.00,29-2036.00,0.9639
19-1012.00,19-1013.00,0.9648
19-1012.00,19-1042.00,0.9538
19-1012.00,19-2032.00,0.9517
19-1013.00,19-1022.00,0.959
19-1013.00,19-1029.03,0.9518
19-1013.00,19-1042.00,0.9715
19-1013.00,19-2032.00,0.9756
19-1013.00,19-2041.00,0.9608
19-1013.00,19-2041.02,0.9583
19-1013.00,19-2042.00,0.9517
19-1013.00,19-2099.01,0.9525
19-1022.00,19-1029.02,0.9724
19-1022.00,19-1042.00,0.9557
19-1022.00,19-2032.00,0.9514
19-1022.00,19-2041.00,0.9513
19-1023.00,19-1029.01,0.957
19-1023.00,19-1029.03,0.9523
19-1023.00,19-1031.00,0.9734
19-1023.00,19-2041.00,0.9693
19-1023.00,19-2041.02,0.9617
19-1023.00,29-1011.00,0.9584
19-1023.00,29-1041.00,0.9572
19-1023.00,29-1217.00,0.9566
19-1023.00,29-1218.00,0.9606
19-1023.00,29-1222.00,0.9589
19-1023.00,29-1229.03,0.9581
19-1023.00,29-2036.00,0.9594
19-1029.01,19-1029.03,0.9574
19-1029.01,19-1031.00,0.9583
19-1029.01,19-1042.00,0.9605
19-1029.01,19-2021.00,0.9705
19-1029.01,19-2041.00,0.9588
19-1029.01,19-2041.02,0.9521
19-1029.01,19-2041.03,0.9697
19-1029.01,19-2042.00,0.9597
19-1029.01,19-3039.02,0.9601
19-1029.01,19-3092.00,0.9589
19-1029.01,19-4061.00,0.9626
19-1029.01,25-1052.00,0.9501
19-1029.01,29-1071.00,0.9541
19-1029.01,29-1131.00,0.9539
19-1029.01,29-1217.00,0.9562
19-1029.01,29-1222.00,0.9542
19-1029.01,29-2036.00,0.9707
19-1029.03,19-1042.00,0.9658
19-1029.03,19-2041.00,0.9602
19-1029.03,19-3039.02,0.9523
19-1029.03,25-1032.00,0.9508
19-1029.03,25-1052.00,0.9608
19-1029.03,25-1053.00,0.9526
19-1029.03,29-1222.00,0.9519
19-1029.03,29-2036.00,0.962
19-1029.04,19-4061.00,0.9587
19-1031.00,19-2041.00,0.9738
19-1031.00,19-2041.02,0.9687
19-1031.00,29-1011.00,0.9659
19-1031.00,29-1041.00,0.9733
19-1031.00,29-1051.00,0.9583
19-1031.00,29-1071.00,0.9501
19-1031.00,29-1131.00,0.9604
19-1031.00,29-1171.00,0.9522
19-1031.00,29-1217.00,0.9533
19-1031.00,29-1218.00,0.9554
19-1031.00,29-1222.00,0.9571
19-1031.00,29-1229.04,0.9513
19-1031.00,29-2036.00,0.966
19-1031.02,53-6041.00,0.9592
19-1031.03,21-1011.00,0.9529
19-1031.03,21-1091.00,0.9538
19-1031.03,29-1122.00,0.96
19-1031.03,29-1123.00,0.967
19-1031.03,29-1125.00,0.9573
19-1031.03,29-1141.04,0.9557
19-1041.00,19-2021.00,0.9672
19-1041.00,19-2041.03,0.9717
19-1041.00,19-2042.00,0.9507
19-1041.00,19-3032.00,0.9698
19-1041.00,19-3041.00,0.9588
19-1041.00,19-3051.00,0.9529
19-1041.00,19-3092.00,0.9707
19-1041.00,25-1066.00,0.9507
19-1041.00,29-1216.00,0.951
19-1041.00,29-1223.00,0.9505
19-1041.00,29-1229.05,0.9685
19-1042.00,19-2021.00,0.9683
19-1042.00,19-2032.00,0.9591
19-1042.00,19-2041.00,0.9544
19-1042.00,19-2041.02,0.9567
19-1042.00,19-2041.03,0.9521
19-1042.00,19-2042.00,0.972
19-1042.00,19-2099.01,0.9569
19-1042.00,19-3092.00,0.9545
19-1042.00,29-1131.00,0.9564
19-1042.00,29-2036.00,0.9545
19-2011.00,19-2021.00,0.9706
19-2011.00,19-2042.00,0.9535
19-2011.00,25-1051.00,0.9504
19-2012.00,19-2099.01,0.956
19-2021.00,19-2041.00,0.9513
19-2021.00,19-2041.03,0.9781
19-2021.00,19-2042.00,0.9663
19-2021.00,19-3022.00,0.9592
19-2021.00,19-3032.00,0.9563
19-2021.00,19-3039.02,0.9535
19-2021.00,19-3041.00,0.9557
19-2021.00,19-3092.00,0.9803
19-2021.00,25-1051.00,0.9677
19-2021.00,25-1052.00,0.9501
19-2021.00,25-1053.00,0.9536
19-2021.00,25-1066.00,0.9504
19-2021.00,29-1131.00,0.9559
19-2021.00,29-1216.00,0.9535
19-2021.00,29-1299.02,0.9561
19-2032.00,19-2041.00,0.9562
19-2032.00,19-2042.00,0.9524
19-2041.00,19-2041.02,0.9538
19-2041.00,29-1041.00,0.9618
19-2041.00,29-1051.00,0.9515
19-2041.00,29-1131.00,0.9525
19-2041.00,29-1218.00,0.952
19-2041.00,29-1222.00,0.9582
19-2041.00,29-2036.00,0.9629
19-2041.01,19-2041.03,0.9568
19-2041.01,19-3032.00,0.9512
19-2041.01,19-3041.00,0.9547
19-2041.01,19-3051.00,0.953
19-2041.01,19-3091.00,0.9553
19-2041.01,19-3092.00,0.9668
19-2041.01,19-3094.00,0.9559
19-2041.01,19-3099.01,0.9566
19-2041.01,25-1064.00,0.9521
19-2041.01,29-9092.00,0.9541
19-2041.01,33-3021.06,0.9721
19-2041.02,19-2041.03,0.956
19-2041.03,19-2042.00,0.9531
19-2041.03,19-3022.00,0.9677
19-2041.03,19-3032.00,0.9661
19-2041.03,19-3039.02,0.9509
19-2041.03,19-3092.00,0.9755
19-2041.03,25-1051.00,0.9533
19-2042.00,19-2099.01,0.9564
19-2042.00,19-3092.00,0.9575
19-2042.00,29-1131.00,0.9504
19-3011.00,19-3022.00,0.9658
19-3011.00,19-3094.00,0.9544
19-3011.00,19-3099.01,0.9581
19-3011.00,25-1022.00,0.9565
19-3011.00,25-1063.00,0.9579
19-3011.00,33-3021.06,0.9509
19-3022.00,19-3032.00,0.9567
19-3022.00,19-3092.00,0.9622
19-3022.00,19-3099.01,0.9563
19-3022.00,43-9111.00,0.9541
19-3032.00,19-3041.00,0.9536
19-3032.00,19-3051.00,0.9553
19-3032.00,19-3092.00,0.9617
19-3032.00,19-3099.01,0.9538
19-3032.00,29-1229.05,0.9628
19-3033.00,19-3034.00,0.9819
19-3033.00,19-3039.02,0.9564
19-3033.00,19-3039.03,0.9843
19-3033.00,19-3041.00,0.9597
19-3033.00,19-3094.00,0.954
19-3033.00,21-1011.00,0.9672
19-3033.00,21-1012.00,0.9743
19-3033.00,21-1013.00,0.9636
19-3033.00,21-1014.00,0.9672
19-3033.00,21-1015.00,0.9558
19-3033.00,21-1022.00,0.9566
19-3033.00,21-1023.00,0.9652
19-3033.00,23-1011.00,0.9521
19-3033.00,23-1021.00,0.9744
19-3033.00,23-1023.00,0.9536
19-3033.00,23-2011.00,0.9532
19-3033.00,25-1122.00,0.9525
19-3033.00,25-1126.00,0.9505
19-3033.00,25-2031.00,0.9506
19-3033.00,25-2051.00,0.973
19-3033.00,25-2057.00,0.9658
19-3033.00,25-2058.00,0.9579
19-3033.00,25-3011.00,0.9533
19-3033.00,25-3031.00,0.9631
19-3033.00,25-3041.00,0.957
19-3033.00,25-9043.00,0.9516
19-3033.00,29-1129.01,0.966
19-3033.00,29-1141.02,0.9735
19-3033.00,29-1161.00,0.9547
19-3033.00,29-1213.00,0.9563
19-3033.00,29-1214.00,0.9624
19-3033.00,29-1229.02,0.9569
19-3033.00,29-1299.01,0.9666
19-3033.00,29-2099.08,0.9562
19-3033.00,29-9092.00,0.9642
19-3033.00,31-9099.01,0.9689
19-3033.00,33-3021.06,0.9637
19-3033.00,43-4061.00,0.9593
19-3033.00,43-4161.00,0.9587
19-3034.00,19-3039.03,0.9712
19-3034.00,21-1011.00,0.9626
19-3034.00,21-1012.00,0.9796
19-3034.00,21-1013.00,0.9651
19-3034.00,21-1014.00,0.954
19-3034.00,21-1015.00,0.9617
19-3034.00,21-1021.00,0.9595
19-3034.00,21-1023.00,0.961
19-3034.00,23-1021.00,0.9643
19-3034.00,23-2011.00,0.9578
19-3034.00,25-2021.00,0.9618
19-3034.00,25-2031.00,0.9529
19-3034.00,25-2051.00,0.9776
19-3034.00,25-2057.00,0.9757
19-3034.00,25-2058.00,0.9617
19-3034.00,25-3011.00,0.9651
19-3034.00,25-3031.00,0.9679
19-3034.00,25-3041.00,0.9632
19-3034.00,25-9043.00,0.9566
19-3034.00,27-2023.00,0.9564
19-3034.00,29-1128.00,0.9549
19-3034.00,29-1129.01,0.9642
19-3034.00,29-1141.02,0.9688
19-3034.00,29-1161.00,0.9503
19-3034.00,29-1214.00,0.9551
19-3034.00,29-1229.02,0.959
19-3034.00,29-1299.01,0.9502
19-3034.00,29-9092.00,0.9524
19-3034.00,31-9099.01,0.9639
19-3034.00,33-3021.06,0.9648
19-3034.00,43-4021.00,0.9531
19-3034.00,43-4061.00,0.964
19-3034.00,43-4161.00,0.9558
19-3034.00,43-9041.00,0.9591
19-3039.02,19-3039.03,0.967
19-3039.02,19-3041.00,0.9609
19-3039.02,19-3091.00,0.9601
19-3039.02,19-3092.00,0.9578
19-3039.02,19-3094.00,0.9574
19-3039.02,21-1014.00,0.9507
19-3039.02,25-1072.00,0.9544
19-3039.02,29-1011.00,0.9729
19-3039.02,29-1041.00,0.9578
19-3039.02,29-1071.00,0.9771
19-3039.02,29-1128.00,0.9589
19-3039.02,29-1141.02,0.9512
19-3039.02,29-1161.00,0.9604
19-3039.02,29-1171.00,0.9603
19-3039.02,29-1213.00,0.9664
19-3039.02,29-1214.00,0.9558
19-3039.02,29-1215.00,0.9682
19-3039.02,29-1216.00,0.9772
19-3039.02,29-1217.00,0.9843
19-3039.02,29-1218.00,0.9576
19-3039.02,29-1221.00,0.9657
19-3039.02,29-1223.00,0.9514
19-3039.02,29-1229.01,0.9743
19-3039.02,29-1229.02,0.9801
19-3039.02,29-1229.03,0.95
19-3039.02,29-1229.04,0.9691
19-3039.02,29-1229.05,0.9639
19-3039.02,29-1299.01,0.9894
19-3039.02,29-1299.02,0.952
19-3039.02,29-2036.00,0.9606
19-3039.02,29-9092.00,0.9687
19-3039.03,19-3041.00,0.9596
19-3039.03,19-3091.00,0.9542
19-3039.03,19-3094.00,0.9511
19-3039.03,21-1011.00,0.9626
19-3039.03,21-1012.00,0.9687
19-3039.03,21-1013.00,0.9533
19-3039.03,21-1014.00,0.9601
19-3039.03,21-1023.00,0.963
19-3039.03,23-1021.00,0.9691
19-3039.03,23-1023.00,0.9514
19-3039.03,25-1122.00,0.9512
19-3039.03,25-2022.00,0.9587
19-3039.03,25-2031.00,0.9584
19-3039.03,25-2051.00,0.9638
19-3039.03,25-2057.00,0.9602
19-3039.03,25-2058.00,0.9626
19-3039.03,29-1011.00,0.9543
19-3039.03,29-1129.01,0.9604
19-3039.03,29-1141.02,0.9868
19-3039.03,29-1161.00,0.9601
19-3039.03,29-1213.00,0.9696
19-3039.03,29-1214.00,0.9705
19-3039.03,29-1217.00,0.963
19-3039.03,29-1229.01,0.9627
19-3039.03,29-1229.02,0.9696
19-3039.03,29-1229.04,0.9517
19-3039.03,29-1299.01,0.9804
19-3039.03,29-2099.08,0.9606
19-3039.03,29-9092.00,0.9621
19-3039.03,29-9099.01,0.9581
19-3039.03,31-9099.01,0.9639
19-3039.03,33-3021.06,0.9533
19-3041.00,19-3091.00,0.9651
19-3041.00,19-3092.00,0.9718
19-3041.00,19-3094.00,0.9824
19-3041.00,21-1091.00,0.955
19-3041.00,25-1011.00,0.9683
19-3041.00,25-1021.00,0.9589
19-3041.00,25-1031.00,0.9698
19-3041.00,25-1032.00,0.953
19-3041.00,25-1042.00,0.9603
19-3041.00,25-1043.00,0.9591
19-3041.00,25-1051.00,0.9703
19-3041.00,25-1053.00,0.9633
19-3041.00,25-1061.00,0.9766
19-3041.00,25-1062.00,0.9657
19-3041.00,25-1063.00,0.9711
19-3041.00,25-1064.00,0.9792
19-3041.00,25-1065.00,0.9602
19-3041.00,25-1066.00,0.9903
19-3041.00,25-1067.00,0.9724
19-3041.00,25-1071.00,0.9568
19-3041.00,25-1072.00,0.9656
19-3041.00,25-1081.00,0.9566
19-3041.00,25-1082.00,0.9648
19-3041.00,25-1111.00,0.953
19-3041.00,25-1113.00,0.9766
19-3041.00,25-1122.00,0.9618
19-3041.00,25-1124.00,0.9561
19-3041.00,25-1125.00,0.9532
19-3041.00,25-1126.00,0.9604
19-3041.00,25-1192.00,0.9636
19-3041.00,25-2031.00,0.9551
19-3041.00,25-2051.00,0.9528
19-3041.00,29-1141.02,0.9544
19-3041.00,29-1217.00,0.9533
19-3041.00,29-1223.00,0.9683
19-3041.00,29-1229.02,0.9501
19-3041.00,29-1229.05,0.9599
19-3041.00,29-1299.01,0.9569
19-3041.00,29-1299.02,0.9577
19-3041.00,29-9092.00,0.9594
19-3041.00,33-3021.06,0.95
19-3051.00,19-3099.01,0.9706
19-3091.00,19-3092.00,0.9575
19-3091.00,19-3093.00,0.9643
19-3091.00,19-3094.00,0.9524
19-3091.00,25-1041.00,0.9563
19-3091.00,25-1043.00,0.9602
19-3091.00,25-1051.00,0.9582
19-3091.00,25-1053.00,0.9546
19-3091.00,25-1061.00,0.9635
19-3091.00,25-1064.00,0.9574
19-3091.00,25-1066.00,0.9522
19-3091.00,25-1071.00,0.9529
19-3091.00,25-1082.00,0.9556
19-3091.00,25-1122.00,0.9533
19-3091.00,29-1011.00,0.9526
19-3091.00,29-1217.00,0.9533
19-3091.00,29-1218.00,0.9523
19-3091.00,29-1229.01,0.9572
19-3091.00,29-1299.01,0.96
19-3091.00,29-9092.00,0.9609
19-3091.00,33-3021.06,0.9531
19-3092.00,19-3094.00,0.971
19-3092.00,25-1032.00,0.9526
19-3092.00,25-1051.00,0.9682
19-3092.00,25-1053.00,0.9556
19-3092.00,25-1061.00,0.9551
19-3092.00,25-1063.00,0.957
19-3092.00,25-1064.00,0.9627
19-3092.00,25-1066.00,0.963
19-3092.00,29-1299.02,0.9591
19-3092.00,33-3021.06,0.9514
19-3093.00,19-3094.00,0.9545
19-3093.00,25-1061.00,0.955
19-3093.00,25-1065.00,0.9566
19-3094.00,25-1011.00,0.9655
19-3094.00,25-1031.00,0.9676
19-3094.00,25-1061.00,0.9568
19-3094.00,25-1062.00,0.9601
19-3094.00,25-1063.00,0.9695
19-3094.00,25-1064.00,0.9645
19-3094.00,25-1065.00,0.9622
19-3094.00,25-1066.00,0.9701
19-3094.00,25-1067.00,0.9522
19-3094.00,25-1113.00,0.9615
19-3094.00,25-1122.00,0.9507
19-3094.00,25-1124.00,0.9509
19-3094.00,25-1126.00,0.9589
19-3094.00,25-1192.00,0.9561
19-3094.00,29-1223.00,0.9539
19-3094.00,29-1299.01,0.9533
19-3094.00,29-9092.00,0.9505
19-3094.00,33-3021.06,0.9683
19-4042.00,19-4092.00,0.9542
19-4061.00,29-2036.00,0.9554
19-4092.00,29-1224.00,0.9647
19-4092.00,29-2011.01,0.9552
19-5012.00,47-4011.00,0.9641
21-1011.00,21-1012.00,0.9763
21-1011.00,21-1013.00,0.9618
21-1011.00,21-1014.00,0.9596
21-1011.00,21-1015.00,0.9567
21-1011.00,21-1021.00,0.9622
21-1011.00,21-1022.00,0.9546
21-1011.00,21-1023.00,0.9723
21-1011.00,21-1092.00,0.9566
21-1011.00,21-1093.00,0.9769
21-1011.00,21-1094.00,0.9717
21-1011.00,23-1011.00,0.9517
21-1011.00,23-1021.00,0.9568
21-1011.00,25-2051.00,0.9698
21-1011.00,25-2059.01,0.9642
21-1011.00,27-2012.04,0.9548
21-1011.00,29-1122.01,0.9505
21-1011.00,29-1123.00,0.9565
21-1011.00,29-1125.00,0.9608
21-1011.00,29-1129.01,0.9667
21-1011.00,29-1129.02,0.9639
21-1011.00,29-1141.02,0.9556
21-1011.00,29-1161.00,0.9526
21-1011.00,29-1214.00,0.9654
21-1011.00,29-1299.01,0.9535
21-1011.00,29-2053.00,0.9586
21-1011.00,29-2099.08,0.9552
21-1011.00,29-9099.01,0.9503
21-1011.00,31-9099.01,0.9565
21-1011.00,33-1011.00,0.9545
21-1011.00,33-3051.04,0.9569
21-1011.00,41-4011.07,0.9514
21-1011.00,43-4161.00,0.9526
21-1012.00,21-1013.00,0.9598
21-1012.00,21-1023.00,0.9608
21-1012.00,21-1093.00,0.9546
21-1012.00,21-1094.00,0.9746
21-1012.00,21-2011.00,0.951
21-1012.00,23-1021.00,0.9546
21-1012.00,25-1122.00,0.9507
21-1012.00,25-2011.00,0.9566
21-1012.00,25-2012.00,0.9668
21-1012.00,25-2021.00,0.9595
21-1012.00,25-2022.00,0.9625
21-1012.00,25-2031.00,0.962
21-1012.00,25-2051.00,0.9813
21-1012.00,25-2056.00,0.9626
21-1012.00,25-2057.00,0.979
21-1012.00,25-2058.00,0.9712
21-1012.00,25-2059.01,0.9677
21-1012.00,25-3011.00,0.9629
21-1012.00,25-3031.00,0.9709
21-1012.00,25-3041.00,0.9654
21-1012.00,25-9031.00,0.9672
21-1012.00,25-9042.00,0.9547
21-1012.00,25-9043.00,0.9747
21-1012.00,27-2031.00,0.9583
21-1012.00,29-1122.01,0.9619
21-1012.00,29-1125.00,0.9563
21-1012.00,29-1129.01,0.9601
21-1012.00,29-1129.02,0.9639
21-1012.00,29-1141.02,0.9677
21-1012.00,29-1214.00,0.9527
21-1012.00,29-2053.00,0.9531
21-1012.00,29-2099.08,0.9574
21-1012.00,31-2011.00,0.955
21-1012.00,31-9099.01,0.9632
21-1012.00,39-9011.00,0.9562
21-1012.00,43-4051.00,0.9538
21-1012.00,43-4061.00,0.9552
21-1012.00,43-4111.00,0.9538
21-1012.00,43-9041.00,0.9504
21-1013.00,21-1014.00,0.9808
21-1013.00,21-1015.00,0.9768
21-1013.00,21-1021.00,0.9737
21-1013.00,21-1022.00,0.9752
21-1013.00,21-1023.00,0.9661
21-1013.00,23-1011.00,0.9521
21-1013.00,23-1021.00,0.9537
21-1013.00,23-1023.00,0.9563
21-1013.00,25-2051.00,0.95
21-1013.00,27-3031.00,0.9524
21-1013.00,29-1123.00,0.9548
21-1013.00,29-1125.00,0.9561
21-1013.00,29-1129.01,0.9584
21-1013.00,29-1223.00,0.9691
21-1014.00,21-1015.00,0.9611
21-1014.00,21-1021.00,0.954
21-1014.00,21-1022.00,0.9617
21-1014.00,21-1023.00,0.9598
21-1014.00,23-1021.00,0.9549
21-1014.00,23-1023.00,0.9533
21-1014.00,29-1011.00,0.9509
21-1014.00,29-1123.00,0.9504
21-1014.00,29-1129.01,0.9625
21-1014.00,29-1213.00,0.9523
21-1014.00,29-1223.00,0.9661
21-1014.00,29-1299.01,0.9584
21-1015.00,21-1021.00,0.9631
21-1015.00,21-1022.00,0.972
21-1015.00,21-1023.00,0.9744
21-1015.00,21-1091.00,0.9523
21-1015.00,21-1093.00,0.9516
21-1015.00,25-2051.00,0.956
21-1015.00,27-3031.00,0.9536
